Company,Website,Segment,Type,What_They_Sell,HQ_Country,HQ_City,Employee_Range,Funding_Status,ICP_Fit,Priority_Tier,Scraping_Dependency
ZoomInfo,zoominfo.com,B2B Intelligence & GTM,Traditional,B2B contact & company data,USA,Vancouver,500-1000,Public,C,T2,Low
Apollo.io,apollo.io,B2B Intelligence & GTM,Traditional,Sales intelligence platform,USA,San Francisco,100-500,Series C,C,T2,Low
Clearbit,clearbit.com,B2B Intelligence & GTM,Traditional,Company & contact enrichment,USA,San Francisco,50-100,Acquired by HubSpot,B,T2,Medium
Dun & Bradstreet,dnb.com,B2B Intelligence & GTM,Traditional,Business intelligence,USA,Jacksonville,5000+,Public,X,T3,Low
Similarweb,similarweb.com,B2B Intelligence & GTM,Traditional,Web analytics intelligence,Israel,Tel Aviv,500-1000,Public,B,T2,Medium
Crunchbase,crunchbase.com,B2B Intelligence & GTM,Traditional,Startup & company data,USA,San Francisco,500-1000,Public,C,T2,Low
Datanyze,datanyze.com,B2B Intelligence & GTM,Traditional,Technology intelligence,USA,San Mateo,100-500,Acquired by ZoomInfo,B,T2,Medium
BuiltWith,builtwith.com,B2B Intelligence & GTM,Traditional,Website technology profiling,Australia,Sydney,50-100,Bootstrap,A,T1,High
SimilarTech,similartech.com,B2B Intelligence & GTM,Traditional,Technology discovery platform,Israel,Tel Aviv,100-500,Series B,A,T1,High
Clay,clay.com,B2B Intelligence & GTM,AI-Native,AI data enrichment platform,USA,New York City,50-100,Series B,C,T2,Low
Lusha,lusha.com,B2B Intelligence & GTM,AI-Native,B2B contact intelligence,Israel,Boston,50-100,Series C,C,T2,Low
Cognism,cognism.com,B2B Intelligence & GTM,AI-Native,Sales data platform,UK,London,100-500,Series D,C,T2,Low
Seamless.AI,seamless.ai,B2B Intelligence & GTM,AI-Native,Real-time B2B data,USA,Columbus,100-500,Series C,B,T1,Medium
RocketReach,rocketreach.co,B2B Intelligence & GTM,AI-Native,Professional contact database,USA,New York City,50-100,Series C,C,T2,Low
Hunter.io,hunter.io,B2B Intelligence & GTM,AI-Native,Email finder & verification,UK,Wilmington,50-100,Series B,B,T1,Medium
Leadspace,leadspace.com,B2B Intelligence & GTM,AI-Native,ABM data platform,USA,San Francisco,100-500,Series D,B,T2,Medium
Diffbot,diffbot.com,B2B Intelligence & GTM,AI-Native,Web intelligence API,USA,Menlo Park,50-100,Series B,A,T1,High
Coresignal,coresignal.com,B2B Intelligence & GTM,AI-Native,Alternative data platform,Lithuania,Vilnius,100-500,Series A,A,T1,High
Crustdata,crustdata.com,B2B Intelligence & GTM,AI-Native,B2B signals platform,India,San Francisco,50-100,Series A,A,T1,High
Harmonic,harmonic.ai,B2B Intelligence & GTM,AI-Native,Sales intelligence platform,USA,New York City,50-100,Series A,A,T1,High
Veridion,veridion.com,B2B Intelligence & GTM,AI-Native,Business intelligence platform,USA,Bucharest,100-500,Series B,A,T1,High
Explorium,explorium.ai,B2B Intelligence & GTM,AI-Native,ML data enrichment,Israel,Tel Aviv,100-500,Series C,A,T1,High
Grata,grata.ai,B2B Intelligence & GTM,AI-Native,Company intelligence API,USA,New York City,50-100,Series A,A,T1,High
Pipl,pipl.com,B2B Intelligence & GTM,AI-Native,People search & identity,Israel,Post Falls,100-500,Acquired,A,T1,High
Databar,databar.ai,B2B Intelligence & GTM,AI-Native,Data enrichment platform,USA,New York City,50-100,Series A,A,T1,High
People Data Labs,peopledatalabs.com,B2B Intelligence & GTM,AI-Native,People data API,USA,San Francisco,100-500,Series C,A,T1,High
HG Insights,hginsights.com,B2B Intelligence & GTM,AI-Native,Buyer intent data,USA,Santa Barbara,100-500,Acquired,B,T2,Medium
Snov.io,snov.io,B2B Intelligence & GTM,AI-Native,Email finding & verification,Lithuania,New York City,50-100,Bootstrap,B,T2,Medium
FullContact,fullcontact.com,B2B Intelligence & GTM,AI-Native,Identity resolution API,USA,Denver,100-500,Series D,B,T2,Medium
Vainu,vainu.io,B2B Intelligence & GTM,AI-Native,B2B intelligence platform,Finland,Helsinki,50-100,Series A,A,T1,High
Brandfetch,brandfetch.com,B2B Intelligence & GTM,AI-Native,Brand intelligence API,UK,Unknown,50-100,Series B,A,T1,High
Demandbase,demandbase.com,B2B Intelligence & GTM,AI-Native,Account intelligence platform,USA,San Francisco,500-1000,Series D,B,T2,Medium
UserGems,usergems.com,B2B Intelligence & GTM,AI-Native,Job change intelligence,USA,San Francisco,50-100,Series B,B,T2,Medium
Owler,owler.com,B2B Intelligence & GTM,AI-Native,Competitive intelligence,USA,Redwood City,100-500,Series C,B,T2,Medium
GlobalDatabase,globaldatabase.com,B2B Intelligence & GTM,AI-Native,Business database platform,Bulgaria,Northampton,50-100,Bootstrap,B,T2,Medium
Cleanlist,cleanlist.ai,B2B Intelligence & GTM,AI-Native,B2B data cleaning,USA,Toronto,50-100,Series A,A,T1,High
Riveter,riveter.co,B2B Intelligence & GTM,AI-Native,Relationship intelligence,USA,San Francisco,50-100,Series A,A,T1,High
Bureau van Dijk,bvdinfo.com,Alternative Financial Data,Traditional,Financial intelligence,Belgium,Brussels,1000-5000,Private,X,T3,Low
PitchBook,pitchbook.com,Alternative Financial Data,Traditional,PE/VC market data,USA,Seattle,1000-5000,Acquired by Morningstar,X,T3,Low
LexisNexis Risk,lexisnexisrisk.com,Alternative Financial Data,Traditional,Risk analytics,USA,Alpharetta,5000+,Public,X,T3,Low
Statista,statista.com,Alternative Financial Data,Traditional,Market research data,Germany,Hamburg,500-1000,Private,X,T3,Low
AlphaSense,alpha-sense.com,Alternative Financial Data,AI-Native,Alternative data platform,USA,New York City,500-1000,Series D,A,T1,High
Thinknum,thinknum.com,Alternative Financial Data,AI-Native,Alternative data API,USA,New York City,50-100,Series B,A,T1,High
Patlytics,patlytics.com,Alternative Financial Data,AI-Native,Patent analytics,USA,San Francisco,50-100,Bootstrap,A,T1,High
Patsnap,patsnap.com,Alternative Financial Data,AI-Native,IP intelligence,Singapore,Singapore,500-1000,Series C,A,T1,High
Xignite,xignite.com,Alternative Financial Data,AI-Native,Market data APIs,USA,Jersey City,100-500,Private,B,T2,Medium
Finnhub,finnhub.io,Alternative Financial Data,AI-Native,Financial data API,USA,New York City,50-100,Bootstrap,B,T2,Medium
Intrinio,intrinio.com,Alternative Financial Data,AI-Native,Financial data platform,USA,St. Petersburg,100-500,Series C,B,T2,Medium
Quiver Quantitative,quiverquant.com,Alternative Financial Data,AI-Native,Alternative data aggregator,USA,Spring Green,50-100,Bootstrap,A,T1,High
ExtractAlpha,extractalpha.com,Alternative Financial Data,AI-Native,ML alternative data,USA,Hong Kong,50-100,Series B,A,T1,High
Visible Alpha,visiblealpha.com,Alternative Financial Data,AI-Native,Analyst research platform,USA,New York City,500-1000,Acquired,B,T2,Medium
Enverus,enverus.com,Alternative Financial Data,AI-Native,Energy market data,USA,Austin,500-1000,Acquired,B,T2,Medium
Predata,predata.com,Alternative Financial Data,AI-Native,Geopolitical risk data,USA,New York City,100-500,Series B,A,T1,High
YipitData,yipitdata.com,Alternative Financial Data,AI-Native,Alternative data provider,USA,New York City,100-500,Series C,A,T1,High
Consumer Edge,consumeredge.com,Alternative Financial Data,AI-Native,Consumer spending data,USA,New York City,50-100,Series B,A,T1,High
Sentieo,sentieo.com,Alternative Financial Data,AI-Native,Financial research platform,USA,San Francisco,100-500,Series B,A,T1,High
Preqin,preqin.com,Alternative Financial Data,Traditional,Alternative assets data,UK,London,500-1000,Public,B,T2,Medium
Intelligence Node,intelligencenode.com,E-commerce & Price Intelligence,AI-Native,E-commerce price intelligence,USA,San Francisco,50-100,Series A,A,T1,High
Profitero,profitero.com,E-commerce & Price Intelligence,AI-Native,Ecommerce analytics,USA,Boston,100-500,Series B,A,T1,High
Stackline,stackline.com,E-commerce & Price Intelligence,AI-Native,Amazon analytics platform,USA,Seattle,100-500,Series C,B,T2,Medium
Keepa,keepa.com,E-commerce & Price Intelligence,AI-Native,Amazon price tracking,Germany,Berlin,50-100,Bootstrap,B,T2,Medium
DataHawk,datahawk.co,E-commerce & Price Intelligence,AI-Native,Amazon seller intelligence,USA,Paris,50-100,Series A,B,T2,Medium
Jungle Scout,junglescout.com,E-commerce & Price Intelligence,AI-Native,Amazon research platform,USA,Chicago,100-500,Series B,B,T2,Medium
Wiser Solutions,wiser.com,E-commerce & Price Intelligence,AI-Native,Dynamic pricing & analytics,USA,San Francisco,100-500,Series C,A,T1,High
Prisync,prisync.com,E-commerce & Price Intelligence,AI-Native,Price optimization platform,Turkey,Istanbul,50-100,Series B,A,T1,High
Minderest,minderest.com,E-commerce & Price Intelligence,AI-Native,Ecommerce intelligence,USA,Murcia,50-100,Series A,A,T1,High
Competera,competera.net,E-commerce & Price Intelligence,AI-Native,Price optimization AI,Ukraine,New York City,100-500,Series C,A,T1,High
Priceva,priceva.com,E-commerce & Price Intelligence,AI-Native,Price management platform,USA,Vaughan,50-100,Series B,B,T2,Medium
